Code,Ticker,Open,High,Low,Close,Volume,PrevClose,CompanyName,Market,Sector17,変動率(%),前日比(%),振れ幅(%),レンジ位置,上ヒゲ比,VWAP,売買代金(百万円),終値/VWAP,全体順位,セクター内順位,セクター銘柄数,セクター内%,vsセクター
2120,2120.T,211.0,216.0,209.0,216.0,1555100.0,208.0,ＬＩＦＵＬＬ,プライム（内国株式）,情報通信・サービスその他,2.37,3.85,3.32,1.0,0.0,214.0,332.8,1.009,950,231,1256,0.184,1.35
2121,2121.T,2655.0,2685.0,2642.0,2685.0,284100.0,2648.0,ＭＩＸＩ,プライム（内国株式）,情報通信・サービスその他,1.13,1.4,1.62,1.0,0.0,2671.0,758.8,1.005,1844,495,1256,0.394,0.11
2122,2122.T,1317.0,1348.0,1299.0,1335.0,17600.0,1297.0,インタースペース,スタンダード（内国株式）,情報通信・サービスその他,1.37,2.93,3.72,0.735,0.265,1327.0,23.4,1.006,1638,422,1256,0.336,0.35
2124,2124.T,903.0,904.0,887.0,895.0,954800.0,878.0,ジェイエイシーリクルートメント,プライム（内国株式）,情報通信・サービスその他,-0.89,1.94,1.88,0.471,0.529,895.0,854.5,1.0,3536,1147,1256,0.913,-1.91
2127,2127.T,715.7999877929688,722.9000244140625,711.2999877929688,722.7000122070312,2436500.0,715.7999877929688,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,情報通信・サービスその他,0.96,0.96,1.62,0.983,0.017,719.0,1751.8,1.005,1992,534,1256,0.425,-0.06
212A,212A.T,2569.0,2624.0,2548.0,2577.0,117000.0,2569.0,フィットイージー,プライム（内国株式）,情報通信・サービスその他,0.31,0.31,2.96,0.382,0.618,2583.0,302.2,0.998,2653,777,1256,0.619,-0.71
2130,2130.T,1212.0,1216.0,1202.0,1208.0,36300.0,1208.0,メンバーズ,プライム（内国株式）,情報通信・サービスその他,-0.33,0.0,1.16,0.429,0.571,1209.0,43.9,0.999,3317,1045,1256,0.832,-1.35
2134,2134.T,37.0,38.0,36.0,36.0,3651600.0,37.0,北浜キャピタルパートナーズ,スタンダード（内国株式）,情報通信・サービスその他,-2.7,-2.7,5.41,0.0,1.0,37.0,135.1,0.973,3731,1238,1256,0.986,-3.72
2136,2136.T,1598.0,1600.0,1588.0,1596.0,3900.0,1594.0,ヒップ,スタンダード（内国株式）,情報通信・サービスその他,-0.13,0.13,0.75,0.667,0.333,1595.0,6.2,1.001,3179,975,1256,0.776,-1.15
2138,2138.T,584.0,598.0,580.0,590.0,18100.0,584.0,クルーズ,スタンダード（内国株式）,情報通信・サービスその他,1.03,1.03,3.08,0.556,0.444,589.0,10.7,1.002,1922,517,1256,0.412,0.01
